,ad_id,adspot_id,real_ctr,is_clicked
0,3,2,0.1900246384046416,1
1,7,10,0.2302373511431641,0
2,9,8,0.18801804116362947,0
3,7,7,0.198574376743994,1
4,6,5,0.1898280825715804,0
5,9,5,0.16085713997716355,0
6,2,8,0.2608452664636627,0
7,4,8,0.23942396212207076,0
8,3,5,0.2205097308122678,0
9,3,1,0.17811296261765613,1
10,2,6,0.23956878746487845,1
11,8,3,0.15141547483344892,0
12,9,2,0.1297846229171157,1
13,7,2,0.15084073132161607,0
14,9,7,0.1793427232997757,0
15,9,3,0.1423159138452455,0
16,8,2,0.14033778496566252,0
17,3,8,0.24874651398394998,0
18,1,6,0.24986095266038058,0
19,5,1,0.16010238901974724,0
20,4,3,0.18990528959789355,0
21,9,9,0.19979274356160573,0
22,9,7,0.1825714412701998,0
23,9,8,0.19045838291585074,0
24,3,5,0.2189900860245483,1
25,8,10,0.2200663595231646,0
26,10,10,0.19903930730997701,0
27,3,6,0.23225318511321158,1
28,5,10,0.24893437556688458,0
29,2,5,0.23134096874024676,0
30,7,5,0.18085554348002922,0
31,9,9,0.19888854323336277,0
32,5,4,0.19063740144004754,0
33,5,6,0.20931862993123257,1
34,5,7,0.22029343089917405,0
35,2,7,0.25034283419990216,1
36,7,7,0.2003447103925143,0
37,10,4,0.14105372974633817,0
38,2,3,0.20882891928857103,0
39,2,5,0.22787793092227374,0
40,5,8,0.2303195066687559,0
41,3,3,0.20058493298588567,0
42,2,9,0.2696966775446669,1
43,7,1,0.13882129595755105,0
44,5,9,0.23994015685577222,1
45,5,3,0.18015487142127787,0
46,5,1,0.1590151132510306,0
47,6,7,0.21005165113574328,0
48,3,3,0.20065958848345544,0
49,5,2,0.1714117488357934,0
50,1,4,0.23061298400474395,0
51,6,9,0.23179892604098756,1
52,9,1,0.11950837738566171,0
53,8,2,0.13909835615861435,0
54,1,1,0.19987611463670923,0
55,6,1,0.14940467701920632,0
56,9,3,0.14090944631528016,0
57,3,3,0.1994274176937251,1
58,6,7,0.208855013306684,0
59,2,4,0.21973742443697136,0
60,6,9,0.2308517927970562,0
61,3,8,0.24914959122521774,0
62,9,7,0.17924627933240397,1
63,7,8,0.20943131587027575,1
64,10,10,0.2000608744377815,0
65,4,8,0.2405340535996435,1
66,3,9,0.262354000833478,1
67,3,8,0.24869938965933797,0
68,10,8,0.17929065764096647,0
69,7,2,0.15023410678132443,1
70,2,2,0.19865376801005558,0
71,10,8,0.1797082004379824,0
72,10,3,0.12955340464502657,1
73,9,1,0.12023683087886847,0
74,4,2,0.1805869086299189,0
75,6,2,0.15818316838049726,0
76,7,4,0.16798427192744575,1
77,9,8,0.18825572671458268,0
78,3,10,0.2693430451161917,0
79,5,4,0.18922085766311858,0
80,1,4,0.2305406908859248,0
81,6,6,0.20026202349155248,0
82,3,6,0.22810954516821189,0
83,7,4,0.17077377025535584,0
84,9,1,0.12013410006649511,0
85,3,7,0.23916166031700287,0
86,5,1,0.15946747224512275,1
87,3,2,0.18987212688042518,0
88,2,2,0.20058096793312713,1
89,4,4,0.20043689239866974,0
90,9,5,0.15995580202800325,0
91,2,1,0.18780312917314526,0
92,7,9,0.22068527440329835,0
93,6,3,0.1699231847725526,0
94,1,4,0.22835960861812984,0
95,3,6,0.2298222083259247,0
96,5,5,0.19952762737857943,0
97,7,5,0.17988159061145004,1
98,10,5,0.14975603361611817,0
99,1,2,0.21013016036675988,0
100,6,8,0.2198742236910957,1
101,7,2,0.15042350803397567,0
102,4,10,0.2604489673286103,1
103,4,3,0.1910447466061061,0
104,3,10,0.26926959101965897,0
105,2,9,0.27082361539716077,1
106,8,3,0.15083910639846168,0
107,7,6,0.18908456916526328,0
108,7,3,0.1592879147586608,0
109,7,10,0.2296615055783877,0
110,5,7,0.218804621526599,0
111,4,1,0.16977791480770335,0
112,10,3,0.12842076853142256,0
113,3,10,0.27124767735929245,1
114,3,2,0.1887831448573933,0
115,5,7,0.21994610924977961,1
116,1,1,0.2016939302387171,0
117,6,10,0.23907152690624156,1
118,3,3,0.20073910689922628,0
119,8,9,0.2107896538870751,0
120,1,4,0.2317942645040924,1
121,2,9,0.27060721813749095,0
122,6,3,0.17076143301844146,1
123,5,2,0.17118527602621006,0
124,9,9,0.19927462617711683,1
125,1,9,0.27933006598947663,0
126,3,3,0.20021710527419745,1
127,8,4,0.16133009389292555,0
128,7,6,0.19005514894593784,1
129,3,9,0.2604741470784811,0
130,9,2,0.12955338687946352,0
131,8,6,0.18017558865297217,0
132,10,8,0.17928238803812296,1
133,5,10,0.2505464950749919,0
134,2,1,0.18955026974898945,0
135,2,8,0.2607533345899617,1
136,4,3,0.19072495594319272,0
137,7,7,0.2003001233020442,0
138,7,3,0.15873046534730922,1
139,9,6,0.16966766045472925,0
140,9,1,0.12006565210646698,0
141,6,6,0.19838228018859924,0
142,2,6,0.23938213398712446,0
143,8,4,0.15980902034444344,0
144,10,5,0.14956064853288212,0
145,9,2,0.12851263800718488,0
146,2,8,0.2585899292540262,0
147,1,10,0.29076576887343797,1
148,4,4,0.20025827113488653,0
149,10,9,0.18988063852425385,0
150,3,9,0.259313769644033,0
151,10,2,0.1191551618298746,0
152,7,6,0.19084291802116496,0
153,1,9,0.280781393698028,0
154,2,9,0.27050124086614674,0
155,9,3,0.13991322760943878,0
156,3,7,0.24109027323376467,0
157,2,8,0.2602193002137318,1
158,6,4,0.18123913120606538,0
159,1,4,0.2285040213399497,0
160,5,10,0.2485118392126191,0
161,2,2,0.19811773743463593,0
162,3,4,0.21066563008094216,0
163,4,2,0.17944305270116823,0
164,2,10,0.28190223947850185,0
165,2,3,0.20952363374046049,0
166,7,1,0.14119485218795114,1
167,10,5,0.14965009546112865,0
168,1,5,0.2403282464180208,1
169,2,9,0.2702381417571426,0
170,4,1,0.17155362911980737,0
171,4,6,0.21954608616505827,0
172,5,5,0.20012444852469677,0
173,7,2,0.1510109096950754,0
174,8,6,0.18027399515349718,0
175,4,8,0.2402440529984551,0
176,7,10,0.23009001236333515,0
177,4,9,0.24931696401465894,1
178,9,5,0.16073339121429003,0
179,5,4,0.189240530954889,0
180,2,7,0.24943080418822627,0
181,7,1,0.14157166066666735,0
182,9,9,0.20054806933861347,0
183,4,10,0.2629543267615663,0
184,7,2,0.1498513045412534,0
185,7,4,0.1699216791722497,0
186,8,10,0.22043844118534411,1
187,10,9,0.19097039991170894,1
188,6,4,0.1807603072135207,0
189,4,3,0.18980799004365398,0
190,9,5,0.16077025477198695,1
191,10,4,0.14046945133770253,0
192,9,9,0.19933214158220844,0
193,6,6,0.20020812605961436,0
194,6,4,0.1794144916070042,0
195,1,5,0.23948364213428963,0
196,4,5,0.20946941610004022,0
197,6,7,0.2106968118486118,0
198,5,6,0.20932936536445576,0
199,4,9,0.25088731477966775,1
200,4,1,0.1694836622163301,0
201,3,7,0.23989705324015717,0
202,8,6,0.1793082100205905,0
